timestamp,balance,daily_pnl,daily_loss_percent,open_trades,exposure,consecutive_losses,risk_allowed,reason
2026-06-23T15:51:00.091622+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-24T07:49:51.783667+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-24T10:03:31.309361+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-24T12:01:58.121281+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-24T15:08:04.728192+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-24T17:18:01.263760+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-24T19:10:18.602673+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-24T20:56:03.067671+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-24T22:14:42.588806+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-24T23:36:19.471761+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-25T01:37:38.877441+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-25T05:51:44.944253+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-25T08:56:00.589719+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-25T11:38:27.275739+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-25T13:51:21.655205+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-25T16:21:42.806806+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-25T18:32:34.804171+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-25T20:50:35.073779+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-25T22:19:41.083494+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-25T23:52:02.676858+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-26T02:56:30.051291+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-26T06:54:48.724328+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-26T10:22:07.013783+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-26T12:31:49.117689+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-26T15:17:06.413279+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-26T17:16:13.429573+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-26T19:18:34.299416+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-26T21:06:25.604720+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-26T22:36:25.693559+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-26T23:47:44.561073+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-27T02:46:26.609695+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-27T06:28:05.918870+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-27T09:12:55.813966+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-27T11:04:53.516689+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-27T12:18:44.979779+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-27T14:13:18.403004+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-27T15:40:27.693515+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-27T16:46:28.028548+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-27T17:59:47.489733+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-27T19:38:23.932538+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-27T20:43:25.395044+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-27T21:45:48.710616+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-27T22:46:04.103517+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-27T23:44:58.095951+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-28T01:55:04.263078+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
2026-06-28T06:15:15.351180+00:00,1000.0,0.0,0.0,0,0.0,0,True,Risk checks passed
