mode,symbol,entry,exit,result,profit_pct,score,volume_ratio,atr,rsi
WALKFORWARD_TRAIN,INJUSDT,3.712,3.6977857142857147,LOSS,-0.3829279556650192,100,1.9068967573231936,0.014214285714285704,56.64836093427955
WALKFORWARD_TRAIN,BNBUSDT,626.6,629.3257142857143,WIN,0.4350006839633379,100,1.5478322060400405,1.3628571428571539,56.297921386800496
WALKFORWARD_TRAIN,OPUSDT,0.1291,0.1282357142857143,LOSS,-0.6694699568440793,100,6.705132891545898,0.0008642857142857123,52.306094098455596
WALKFORWARD_TRAIN,SEIUSDT,0.05979,0.05954714285714286,LOSS,-0.40618354717702265,100,2.6733508325379938,0.00024285714285714188,51.41514646843449
WALKFORWARD_TRAIN,ETHUSDT,2383.45,2374.725,LOSS,-0.3660659967693851,100,2.9431658430903838,8.725000000000007,52.11219368683992
WALKFORWARD_TRAIN,DOTUSDT,1.272,1.2632142857142856,LOSS,-0.6907008086253457,100,1.5628066420690425,0.008785714285714286,55.384179120931776
WALKFORWARD_TRAIN,DOGEUSDT,0.11209,0.11329571428571428,WIN,1.0756662375896888,100,6.953259413287421,0.0006028571428571421,49.10023280579222
WALKFORWARD_TRAIN,OPUSDT,0.1292,0.1284857142857143,LOSS,-0.5528527200353892,100,2.2512459174075685,0.0007142857142857149,56.2184624020241
WALKFORWARD_TRAIN,LINKUSDT,9.77,9.86,WIN,0.921187308085976,100,2.47564509959364,0.045000000000000054,53.69052819108962
WALKFORWARD_TRAIN,SEIUSDT,0.06027,0.06089714285714286,WIN,1.04055559506033,100,2.945214712312071,0.00031357142857142944,55.22864268109289
WALKFORWARD_TRAIN,APTUSDT,1.044,1.034857142857143,LOSS,-0.8757525998905287,100,1.8955587359863018,0.009142857142857166,57.6420426159467
WALKFORWARD_TRAIN,SOLUSDT,88.92,88.50785714285715,LOSS,-0.46349848981427555,100,2.494508211468666,0.41214285714285787,50.42566787478807
WALKFORWARD_TRAIN,TONUSDT,2.374,2.294,LOSS,-3.369839932603204,100,2.4771800007121376,0.08000000000000007,57.569609535107084
WALKFORWARD_TRAIN,NEARUSDT,1.453,1.4331428571428573,LOSS,-1.3666306164585542,100,1.5897751184870317,0.019857142857142858,57.08707150566547
WALKFORWARD_TRAIN,OPUSDT,0.1413,0.13904285714285716,LOSS,-1.5974117884945835,100,1.8199140859596923,0.0022571428571428504,54.075746931828846
WALKFORWARD_TRAIN,ADAUSDT,0.2652,0.26777142857142855,WIN,0.9696186166774352,100,1.943781526675113,0.0012857142857142828,49.27322350113289
WALKFORWARD_TRAIN,NEARUSDT,1.497,1.4825714285714287,LOSS,-0.9638324267582803,100,3.954233811523807,0.014428571428571377,48.57258971632112
WALKFORWARD_TRAIN,DOGEUSDT,0.11168,0.1127157142857143,WIN,0.9273945968072104,100,3.1048339927407,0.0005178571428571453,57.21534377004094
WALKFORWARD_TRAIN,DOGEUSDT,0.1116,0.11100928571428571,LOSS,-0.5293138760880749,100,5.181518919488313,0.0005907142857142876,54.71076998278663
WALKFORWARD_TRAIN,AVAXUSDT,9.62,9.577857142857141,LOSS,-0.4380754380754486,100,1.5339011456729719,0.04214285714285726,53.18317830191533
WALKFORWARD_TRAIN,ARBUSDT,0.1283,0.12708571428571427,LOSS,-0.9464424897004858,100,1.9574060892471257,0.0012142857142857133,50.708116953986654
WALKFORWARD_TRAIN,SEIUSDT,0.06071,0.06041571428571429,LOSS,-0.4847400993011237,100,1.9598118403204636,0.0002942857142857142,52.47061249052444
WALKFORWARD_TRAIN,APTUSDT,1.032,1.0451428571428572,WIN,1.273532668881504,100,1.5913119966049183,0.006571428571428577,54.90852774914181
WALKFORWARD_TRAIN,OPUSDT,0.1489,0.14737142857142857,LOSS,-1.026575841888136,100,2.1461519258226525,0.0015285714285714288,53.1957580181032
WALKFORWARD_TRAIN,NEARUSDT,1.485,1.5012857142857143,WIN,1.0966810966810934,100,2.0102834505389224,0.00814285714285715,55.774149005505414
