regime,trades,win_rate,return_pct,profit_factor,max_drawdown,average_trade_pct,best_coin,worst_coin,status
BULL,99,32.323232323232325,-9.78820687700063,0.765415610259561,-10.859125459745817,-0.14569084895470377,LINKUSDT,INJUSDT,❌ FAILED
BEAR,93,46.236559139784944,29.614685461904465,1.6557420755317258,-6.793465209301008,0.27595392086306597,INJUSDT,DOTUSDT,✅ PASSED
SIDEWAYS,14,57.14285714285714,6.303822662541619,3.47838893876024,-1.4250176993654367,0.5694564381222477,INJUSDT,NEARUSDT,✅ PASSED
